,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
325618,SAM AG GELIN/BEY,Maishiy buyumlar,4.05,2019-09-21,True,Əhmədli
325619,RAID MAX 300ML PROTIV TARAKANOV MURAVEV,Hasharotlarga qarshi,6.79,2019-09-21,True,Əhmədli
325620,KOROPLAST 20*25SM 15-LI KILITLI POSET,Maishiy buyumlar,2.53,2019-09-21,True,Əhmədli
325621,MOROSHA 0.5LT KARPATSKAYA ARAQ,Vinolar,8.65,2019-09-21,True,Əhmədli
325622,LORENZ 175GR CRUNCHIPS CIPSI STACKERS SEA SALT,Quritilgan mevalar to'plami,4.25,2019-09-21,True,Əhmədli
325623,J.W BLACK LABEL 750ML VISKI 12IL QUTU,"Viski, tekila va h.k",52.68,2019-09-21,True,Əhmədli
325624,AZER SUD 500GR PENDIR 35% ISMAYILLI PL/Q,Pishloqlar,4.26,2019-09-21,True,Əhmədli
325692,ADONIS CORAB KISI 50110,Paypoq,1.49,2019-10-17,True,Əhmədli
325693,PFANNER 2LT MULTIMEYVE SHIRESI B+C+E,Mevali sharbatlar,8.85,2019-10-17,True,Əhmədli
325743,BEREKETLI RUZI 20GR DAMLA SOKOLAD POSET,Ziravorlar,0.7,2019-04-04,False,Əhmədli
325744,ORION 250GR LIMON DUZU,"Yuvish vositalari, tozalagichlar",1.68,2019-04-04,False,Əhmədli
325745,SARAY 45GR KEKS LIMONLU LOVE IT,Shirinliklar,0.52,2019-04-04,False,Əhmədli
325746,VITA 1000 200ML QARA QARAQAT MEYVE SIRESI,Mevali sharbatlar,0.38,2019-04-04,False,Əhmədli
325747,DR.NATURI 90GR ZDOROV.MENYU XLEBCI RJANIE N11,Diabet mahsulotlari,0.95,2019-04-04,False,Əhmədli
325748,MOHOBBAT BASMATI 1820GR DUYU PL/Q,Donli mahsulotlar,7.45,2019-04-04,False,Əhmədli
325749,START 90GR KUKUR.XLOPYA MEDOVIE SEHER YEMEYI,Shirinliklar,0.8,2019-04-04,False,Əhmədli
325750,ALAFRAH  2.6KQ*4 POROSOK AVTOMAT,Kiyim-kechak uchun,7.22,2019-04-04,False,Əhmədli
325780,NATURA 200ML MULTIMEYVE SIRESI,Mevali sharbatlar,0.37,2019-08-20,True,Əhmədli
325781,HALVA NES FINDIQLI KG,Shirinliklar,6.0,2019-08-20,True,Əhmədli
325782,KUPIEC 84GR RISOVIYE VAFLI S POPKORNOM,Diabet mahsulotlari,2.5,2019-08-20,True,Əhmədli
325783,SUPER KONTIK 50GR PECENYE SQUS.MOLOKO,Shirinliklar,0.4,2019-08-20,True,Əhmədli
325784,SANTAL 1LT ALBALI MEYVE SIRESI,Mevali sharbatlar,3.45,2019-08-20,True,Əhmədli
